variante,hilos,tiempo,cycles,instructions,cache_misses
atomic,1,0.623674,12160280943,28199060702,3055935
atomic,2,1.32409,20705796839,28218265163,53164559
atomic,4,0.76636,22102492239,28230482881,81980468
atomic,8,0.425485,23097294577,28245744015,99742205
atomic,16,0.312154,32965644635,28275169965,95646060
