variante,hilos,tiempo,cycles,instructions,cache_misses
reduction,1,0.571574,13288221426,29730098427,6353783
reduction,2,0.314008,12576440138,29642825176,5301677
reduction,4,0.200058,13075120777,29647217701,5725768
reduction,8,0.123303,14944088193,29809983869,6741015
reduction,16,0.101394,18834550628,29691560783,6713196
