variante,hilos,tiempo,cycles,instructions,cache_misses
atomic,1,1.29257,19663437026,28282558592,31158218
atomic,2,0.942685,24765962198,28193494564,34341478
atomic,4,1.18614,31153203494,28242516898,37183159
atomic,8,1.00172,31478032735,28201164843,37069929
atomic,16,0.946684,32258280953,28219249267,35880405
